Algos,Data Size,Waste,Runtime
"('NextFit', 0)",100,11.105970300000003,2.9000000000001247e-05
"('FirstFit', 0)",100,2.1059703000000027,9.825000000002193e-05
"('BestFit', 0)",100,2.1059703000000027,0.00031408300000002054
"('CustomFit1', 0)",100,3.1059703000000027,0.00023995800000004008
"('CustomFit1Sorted', 0)",100,1.1059703000000027,0.00042766600000004873
"('NextFit', 0)",200,24.68135764000003,4.541699999999205e-05
"('FirstFit', 0)",200,5.68135764000003,0.00038633299999996096
"('BestFit', 0)",200,3.68135764000003,0.0012872500000000175
"('CustomFit1', 0)",200,6.68135764000003,0.0010623750000000043
"('CustomFit1Sorted', 0)",200,2.6813576399999732,0.0014390000000000236
"('NextFit', 0)",400,65.62730856000002,9.07079999999949e-05
"('FirstFit', 0)",400,8.627308560000017,0.0014102919999999797
"('BestFit', 0)",400,6.627308560000017,0.004535958000000007
"('CustomFit1', 0)",400,12.627308560000017,0.003808250000000013
"('CustomFit1Sorted', 0)",400,3.627308559999932,0.004859166999999998
"('NextFit', 0)",800,108.93809363999964,0.0001778329999999606
"('FirstFit', 0)",800,11.938093639999636,0.005254542000000029
"('BestFit', 0)",800,7.938093639999636,0.01731170799999998
"('CustomFit1', 0)",800,21.938093639999636,0.015276874999999968
"('CustomFit1Sorted', 0)",800,4.938093639999522,0.01788716600000001
"('NextFit', 0)",1600,220.03324927999904,0.00037954100000003876
"('FirstFit', 0)",1600,18.03324927999904,0.020395791999999968
"('BestFit', 0)",1600,14.03324927999904,0.06729145800000003
"('CustomFit1', 0)",1600,43.03324927999904,0.06220150000000002
"('CustomFit1Sorted', 0)",1600,7.0332492799993815,0.06904716700000002
"('NextFit', 0)",3200,477.7067911899983,0.0007522919999999322
"('FirstFit', 0)",3200,34.706791189998285,0.08924591599999998
"('BestFit', 0)",3200,24.706791189998285,0.28730933299999994
"('CustomFit1', 0)",3200,86.70679118999828,0.265786541
"('CustomFit1Sorted', 0)",3200,17.706791190002605,0.2814164590000001
"('NextFit', 0)",6400,915.0503436200029,0.0014529580000000042
"('FirstFit', 0)",6400,56.05034362000288,0.35444291699999986
"('BestFit', 0)",6400,44.05034362000288,1.144692875
"('CustomFit1', 0)",6400,172.05034362000288,1.0779607080000004
"('CustomFit1Sorted', 0)",6400,22.050343620001968,1.1581185420000004
"('NextFit', 0)",12800,1886.2518740100177,0.00329125000000019
"('FirstFit', 0)",12800,107.25187401001767,1.478648583
"('BestFit', 0)",12800,76.25187401001767,4.5562672090000005
"('CustomFit1', 0)",12800,336.2518740100177,4.366561875
"('CustomFit1Sorted', 0)",12800,47.25187401000585,4.534037707999998
"('NextFit', 0)",25600,3703.6580842799813,0.006484290999999587
"('FirstFit', 0)",25600,214.65808427998127,5.795118082999998
"('BestFit', 0)",25600,149.65808427998127,18.265438500000002
"('CustomFit1', 0)",25600,672.6580842799813,17.020517416000004
"('CustomFit1Sorted', 0)",25600,74.6580842799649,17.964163083000003
